"A","ALIMENTARY TRACT AND METABOLISM","VOIES DIGESTIVES ET METABOLISME","ALIMENTÄRES SYSTEM UND STOFFWECHSEL"
"C09AA","ACE INHIBITORS, PLAIN","INHIBITEUR DE L'ENZYME DE CONVERSION (IEC) NON ASSOCIE","ACE-HEMMER, REIN"
"C09AA01","CAPTOPRIL","CAPTOPRIL","CAPTOPRIL"
"C09AA02","ENALAPRIL","ENALAPRIL","ENALAPRIL"
"C09AA03","LISINOPRIL","LISINOPRIL","LISINOPRIL"
"C09AA04","PERINDOPRIL","PERINDOPRIL","PERINDOPRIL"
"C09AA05","RAMIPRIL","RAMIPRIL","RAMIPRIL"
"C09AA06","QUINAPRIL","QUINAPRIL","QUINAPRIL"
"C09AA07","BENAZEPRIL","BENAZEPRIL","BENAZEPRIL"
"C09AA08","CILAZAPRIL","CILAZAPRIL","CILAZAPRIL"
"C09AA09","FOSINOPRIL","FOSINOPRIL","FOSINOPRIL"
"C09AA10","TRANDOLAPRIL","TRANDOLAPRIL","TRANDOLAPRIL"
"C09AA11","SPIRAPRIL","SPIRAPRIL","SPIRAPRIL"
"C09AA12","DELAPRIL","DELAPRIL","DELAPRIL"
"C09AA13","MOEXIPRIL","MOEXIPRIL","MOEXIPRIL"
"C09AA14","TEMOCAPRIL","TEMOCAPRIL","TEMOCAPRIL"
"C09AA15","ZOFENOPRIL","ZOFENOPRIL","ZOFENOPRIL"
"C09AA16","IMIDAPRIL","IMIDAPRIL","IMIDAPRIL"
"C09B","ACE INHIBITORS, COMBINATIONS","INHIBITEURS DE L'ENZYME DE CONVERSION (IEC) EN ASSOCIATION","ACE-HEMMER, KOMBINATIONEN"
"C09BA","ACE INHIBITORS AND DIURETICS","INHIBITEURS DE L'ENZYME DE CONVERSION (IEC) ET DIURETIQUES","ACE-HEMMER UND DIURETIKA"
"C09BA01","CAPTOPRIL AND DIURETICS","CAPTOPRIL ET DIURETIQUES","CAPTOPRIL UND DIURETIKA"
"C09BA02","ENALAPRIL AND DIURETICS","ENALAPRIL ET DIURETIQUES","ENALAPRIL UND DIURETIKA"
"C09BA03","LISINOPRIL AND DIURETICS","LISINOPRIL ET DIURETIQUES","LISINOPRIL UND DIURETIKA"
"C09BA04","PERINDOPRIL AND DIURETICS","PERINDOPRIL ET DIURETIQUES","PERINDOPRIL UND DIURETIKA"
"C09BA05","RAMIPRIL AND DIURETICS","RAMIPRIL ET DIURETIQUES","RAMIPRIL UND DIURETIKA"
"C09BA06","QUINAPRIL AND DIURETICS","QUINAPRIL ET DIURETIQUES","QUINAPRIL UND DIURETIKA"
"C09BA07","BENAZEPRIL AND DIURETICS","BENAZEPRIL ET DIURETIQUES","BENAZEPRIL UND DIURETIKA"
"C09BA08","CILAZAPRIL AND DIURETICS","CILAZAPRIL ET DIURETIQUES","CILAZAPRIL UND DIURETIKA"
"C09BA09","FOSINOPRIL AND DIURETICS","FOSINOPRIL ET DIURETIQUES","FOSINOPRIL UND DIURETIKA"
"C09BA12","DELAPRIL AND DIURETICS","DELAPRIL ET DIURETIQUES","DELAPRIL UND DIURETIKA"
"C09BA13","MOEXIPRIL AND DIURETICS","MOEXIPRIL ET DIURETIQUES","MOEXIPRIL UND DIURETIKA"
"C09BB","ACE INHIBITORS AND CALCIUM CHANNEL BLOCKERS","INHIBITEURS DE L'ENZYME DE CONVERSION (IEC) ET INHIBITEURS CALCIQUES","ACE-HEMMER UND CALCIUMKANALBLOCKER"
"C09BB02","ENALAPRIL AND LERCANIDIPINE","ENALAPRIL ET LERCANIDIPINE","ENALAPRIL UND LERCANIDIPIN"
"C09BB03","LISINOPRIL AND AMLODIPINE","LISINOPRIL ET AMLODIPINE","LISINOPRIL UND AMLODIPIN"
"C09BB04","PERINDOPRIL AND AMLODIPINE","PERINDOPRIL ET AMLODIPINE","PERINDOPRIL UND AMLODIPIN"
"C09BB05","RAMIPRIL AND CALCIUM CHANNEL BLOCKERS","RAMIPRIL ET INHIBITEURS CALCIQUES","RAMIPRIL UND FELODIPIN"
"C09BB10","TRANDOLAPRIL AND CALCIUM CHANNEL BLOCKERS","TRANDOLAPRIL ET INHIBITEURS CALCIQUES","TRANDOLAPRIL UND VERAPAMIL"
"C09BB12","DELAPRIL AND CALCIUM CHANNEL BLOCKERS","DELAPRIL ET INHIBITEURS CALCIQUES","DELAPRIL UND MANIDIPIN"
"C09C","ANGIOTENSIN II ANTAGONISTS, PLAIN","ANTAGONISTES DE L'ANGIOTENSINE II","ANGIOTENSIN-II-ANTAGONISTEN, REIN"
"C09CA","ANGIOTENSIN II ANTAGONISTS, PLAIN","ANTAGONISTES DE L'ANGIOTENSINE II NON ASSOCIES","ANGIOTENSIN-II-ANTAGONISTEN, REIN"
"C09CA01","LOSARTAN","LOSARTAN","LOSARTAN"
"C09CA02","EPROSARTAN","EPROSARTAN","EPROSARTAN"
"C09CA03","VALSARTAN","VALSARTAN","VALSARTAN"
"C09CA04","IRBESARTAN","IRBESARTAN","IRBESARTAN"
"C09CA05","TASOSARTAN","TOSARTAN","TASOSARTAN"
"C09CA06","CANDESARTAN","CANDESARTAN","CANDESARTAN"
"C09CA07","TELMISARTAN","TELMISARTAN","TELMISARTAN"
"C09CA08","OLMESARTAN MEDOXOMIL","OLMESARTAN MEDOXOMIL","OLMESARTAN MEDOXOMIL"
"C09D","ANGIOTENSIN II ANTAGONISTS, COMBINATIONS","ANTAGONISTES DE L'ANGIOTENSINE II EN ASSOCIATION","ANGIOTENSIN-II-ANTAGONISTEN, KOMBINATIONEN"
"C09DA","ANGIOTENSIN II ANTAGONISTS AND DIURETICS","ANTAGONISTES DE L'ANGIOTENSINE ET DIURETIQUES","ANGIOTENSIN-II-ANTAGONISTEN UND DIURETIKA"
"C09DA01","LOSARTAN AND DIURETICS","LOSARTAN ET DIURETIQUE","LOSARTAN UND DIURETIKA"
"C09DA02","EPROSARTAN AND DIURETICS","EPROSARTAN ET DIURETIQUE","EPROSARTAN UND DIURETIKA"
"C09DA03","VALSARTAN AND DIURETICS","VALSARTAN ET DIURETIQUES","VALSARTAN UND DIURETIKA"
"C09DA04","IRBESARTAN AND DIURETICS","IRBESARTAN ET DIURETIQUES","IRBESARTAN UND DIURETIKA"
"C09DA06","CANDESARTAN AND DIURETICS","CANDESARTAN ET DIURETIQUES","CANDESARTAN UND DIURETIKA"
"C09DA07","TELMISARTAN AND DIURETICS","TELMISARTAN ET DIURETIQUES","TELMISARTAN UND DIURETIKA"
"C09DB01","VALSARTAN AND AMLODIPINE","VALSARTAN ET AMLODIPINE","VALSARTAN UND AMLODIPIN"
"C09DB02","OLMESARTAN MEDOXOMIL AND AMLODIPINE","OLMESARTAN MEDOXOMIL ET AMLODIPINE","OLMESARTAN MEDOXOMIL UND AMLODIPIN"
"C09DB04","TELMISARTAN AND AMLODIPINE","TELMISARTAN AND AMLODIPINE","TELMISARTAN UND AMLODIPIN"
"C09DX","ANGIOTENSIN II ANTAGONISTS, OTHER COMBINATIONS","AUTRES ASSOCIATIONS D'ANTAGONISTES DE L'ANGIOTENSINE II","ANGIOTENSIN-II-ANTAGONISTEN, ANDERE KOMBINATIONEN"
"C09DX01","VALSARTAN, AMLODIPINE AND HYDROCHLOROTHIAZIDE","VALSARTAN, AMLODIPINE ET HYDROCHLOROTHIAZIDE","VALSARTEN, AMLODIPIN UND HYDROCHLOROTHIAZID"
"C09DX02","VALSARTAN AND ALISKIREN","VALSARTAN ET ALISKIREN","VALSARTAN UND ALISKIREN"
"C09E","VASOPEPTIDASES INHIBITORS, PLAIN","INHIBITEURS DES VASOPEPTIDASES SEULS","VASOPEPTIDASE-INHIBITOREN, MONOPRÄPARATE"
"C09EA","VASOPEPTIDASES INHIBITOR, PLAIN","INHIBITEURS DE VASOPEPTIDASE NON ASSOCIES","VASOPEPTIDASE-INHIBITOREN, MONOPRÄPARATE"
"C09EA01","OMAPATRILAT","OMAPATRILAT","OMAPATRILAT"
"C09X","OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM","AUTRES MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE","ANDERE MITTEL MIT WIRKUNG AUF DAS RENIN-ANGIOTENSIN-SYSTEM"
"C09XA","RENIN-INHIBITORS","INHIBITEURS DE LA RENINE","RENIN-INHIBITOREN"
"C09XA01","REMIKIREN","REMIKEREN","REMIKIREN"
"C09XA02","ALISKIREN","ALISKIREN","ALISKIREN"
"C09XA52","ALISKIREN AND HYDROCHLOROTHIAZIDE","ALISKIREN ET HYDROCHLOROTHIAZIDE","ALISKIREN UND HYDROCHLOROTHIAZIDE"
"C10","SERUM LIPID REDUCING AGENTS","HYPOLIPIDEMIANTS","MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN"
"C10A","CHOLESTEROL AND TRIGLYCERIDE REDUCERS","HYPOCHOLESTEROLEMIANTS ET HYPOTRIGLYCERIDEMIANTS","MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN"
"C10AA","HMG COA REDUCTASE INHIBITORS","INHIBITEURS DE L'HMG-COA REDUCTASE","HMG-COA-REDUKTASEHEMMER"
"C10AA01","SIMVASTATIN","SIMVASTATINE","SIMVASTATIN"
"C10AA02","LOVASTATIN","LOVASTATINE","LOVASTATIN"
"C10AA03","PRAVASTATIN","PRAVASTATINE","PRAVASTATIN"
"C10AA04","FLUVASTATIN","FLUVASTATINE","FLUVASTATIN"
"C10AA05","ATORVASTATIN","ATORVASTATINE","ATORVASTATIN"
"C10AA06","CERIVASTATIN","CERIVASTATINE","CERIVASTATIN"
"C10AA07","ROSUVASTATIN","ROSUVASTATINE","ROSUVASTATIN"
"C10AB","FIBRATES","FIBRATES","FIBRATE"
"C10AB01","CLOFIBRATE","CLOFIBRATE","CLOFIBRAT"
"C10AB02","BEZAFIBRATE","BEZAFIBRATE","BEZAFIBRAT"
"C10AB03","ALUMINIUM CLOFIBRATE","CLOFIBRATE ALUMINIUM","ALUMINIUMCLOFIBRAT"
"C10AB04","GEMFIBROZIL","GEMFIBROZIL","GEMFIBROZIL"
"C10AB05","FENOFIBRATE","FENOFIBRATE","FENOFIBRAT"
"C10AB06","SIMFIBRATE","SIMFIBRATE","SIMFIBRAT"
"C10AB07","RONIFIBRATE","RONIFIBRATE","RONIFIBRAT"
"C10AB08","CIPROFIBRATE","CIPROFIBRATE","CIPROFIBRAT"
"C10AB09","ETOFIBRATE","ETOFIBRATE","ETOFIBRAT"
"C10AB10","CLOFIBRIDE","CLOFIBRIDE","CLOFIBRID"
"C10AC","BILE ACID SEQUESTRANTS","SEQUESTRANTS D'ACIDES BILIAIRES","GALLENSÄURE BINDENDE MITTEL"
"C10AC01","COLESTYRAMINE","COLESTYRAMINE","COLESTYRAMIN"
"C10AC02","COLESTIPOL","COLESTIPOL","COLESTIPOL"
"C10AC03","DETAXTRAN","DETAXTRAN","COLEXTRAN"
"C10AC04","COLESEVELAM","COLESEVELAM","COLESEVELAM"
"C10AD","NICOTINIC ACID AND DERIVATIVES","ACIDE NICOTINIQUE ET DERIVES","NICOTINSÄURE UND DERIVATE"
"C10AD01","NICERITROL","NICERITROL","NICERITROL"
"C10AD02","NICOTINIC ACID","ACIDE NICOTINIQUE","NICOTINSÄURE"
"C10AD03","NICOFURANOSE","NICOFURANOSE","NICOFURANOSE"
"C10AD04","ALUMINIUM NICOTINATE","ALUMINIUM NICOTINATE","ALUMINIUMNICOTINAT"
"C10AD05","NICOTINYL ALCOHOL (PYRIDYLCARBINOL)","NICOTINIQUE ALCOOL (PYRIDYLCARBINOL)","NICOTINYLALKOHOL (PYRIDYLCARBINOL)"
"C10AD06","ACIPIMOX","ACIPIMOX","ACIPIMOX"
"C10AX","OTHER CHOLESTEROL AND TRIGLYCERIDE REDUCERS","AUTRES HYPOCHOLESTEROLEMIANTS ET HYPOTRIGLYCERIDEMIANTS","ANDERE MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN"
"C10AX01","DEXTROTHYROXINE","DEXTROTHYROXINE","DEXTROTHYROXIN"
"C10AX02","PROBUCOL","PROBUCOL","PROBUCOL"
"C10AX03","TIADENOL","TIADENOL","TIADENOL"
"C10AX05","MEGLUTOL","MEGLUTOL","MEGLUTOL"
"C10AX06","OMEGA-3-TRIGLYCERIDES","TRIGLYCERIDES OMEGA 3","OMEGA-3-FETTSÄUREN INKL. ANDERE ESTER UND SÄUREN"
"C10AX07","MAGNESIUM PYRIDOXAL 5-PHOSPHATE GLUTAMATE","PYRIDOXAL 5-PHOSPHATE GLUTAMATE DE MAGNESIUM","MAGNESIUMPYRIDOXAL-5-PHOSPHATGLUTAMAT"
"C10AX08","POLICOSANOL","POLICOSANOL","POLICOSANOL"
"C10AX09","EZETIMIBE","EZETIMIBE","EZETIMIB"
"C10B","LIPID MODIFYING AGENTS, COMBINATIONS","ASSOCIATIONS D'HYPOLIPIDEMIANTS","LIPIDSENKER"
"C10BA","HMG COA REDUCTASE INHIBITORS IN COMIBNATION WITH OTHER LIPID MODIFYING AGENTS","INHIBITEURS DE L'HMG-COA REDUCTASE EN ASSOCIATION AVEC D'AUTRES HYPOLIPIDEMIANTS",""
"C10BA01","LOVASTATIN AND NICOTINIC ACID","LOVASTATINE ET ACIDE NICOTINIQUE","LOVASTATIN UND NIKOTINSÄURE"
"C10BA02","SIMVASTATIN AND EZETIMIDE","SIMVASTATINE ET EZETIMIDE","SIMVASTATIN UND EZETIMID"
"C10BA03","PRAVASTATIN AND FENOFIBRATE","PRAVASTATINE ET FENOFIBRATE","PRAVASTATIN UND FENOFIBRAT"
"C10BX","HMG COA REDUCTASE INHIBITORS, OTHER COMBINATIONS","AUTRES ASSOCIATIONS D'HMG-COA REDUCTASE","HMG-COA-REDUCTASE-INHIBITOREN, ANDERE KOMBINATIONEN"
"C10BX01","SIMVASTATIN AND ACETYLSALICYLIC ACID","SIMVASTATINE ET ACIDE ACETYLSALICYLIQUE","SIMVASTATIN UND ACETYLSALIZYLSÄURE"
"C10BX02","PRAVASTATIN AND ACETYLSALICYLIC ACID","PRAVASTATINE ET ACIDE ACETYLSALICYLIQUE","PRAVASTATIN UND ACETYLSALIZYLSÄURE"
"C10BX03","ATORVASTATIN AND AMLODIPINE","ATORVASTATINE ET AMLODIPINE","ATORVASTATIN UND AMLODIPIN"
"D","DERMATOLOGICALS","MEDICAMENTS DERMATOLOGIQUES","DERMATIKA"
"D01","ANTIFUNGALS FOR DERMATOLOGICAL USE","ANTIFONGIQUES A USAGE DERMATOLOGIQUE","ANTIMYKOTIKA ZUR DERMATOLOGISCHEN ANWENDUNG"
"D01A","ANTIFUNGALS FOR TOPICAL USE","ANTIFONGIQUES A USAGE TOPIQUE","ANTIMYKOTIKA ZUR TOPISCHEN ANWENDUNG"
"D01AA","ANTIBIOTICS","ANTIBIOTIQUES","ANTIBIOTIKA"
"D01AA01","NYSTATIN","NYSTATINE","NYSTATIN"
"D01AA02","NATAMYCIN","NATAMYCINE","NATAMYCIN"
"D01AA03","HACHIMYCIN","HACHIMYCINE","HACHIMYCIN"
"D01AA04","PECILOCIN","PECILOCINE","PECILOCIN"
"D01AA06","MEPARTRICIN","MEPARTRICINE","MEPARTRICIN"
"D01AA07","PYRROLNITRIN","PYRROLNITRINE","PYRROLNITRIN"
"D01AA08","GRISEOFULVIN","GRISEOFULVINE","GRISEOFULVIN"
"D01AA20","COMBINATIONS","ASSOCIATIONS","KOMBINATIONEN"
"D01AC","IMIDAZOLE AND TRIAZOLE DERIVATIVES","DERIVES IMIDAZOLES ET TRIAZOLES","IMIDAZOL- UND TRIAZOL-DERIVATE"
"D01AC01","CLOTRIMAZOLE","CLOTRIMAZOLE","CLOTRIMAZOL"
"D01AC02","MICONAZOLE","MICONAZOLE","MICONAZOL"
"D01AC03","ECONAZOLE","ECONAZOLE","ECONAZOL"
"D01AC04","CLOMIDAZOLE","CLOMIDAZOLE","CHLORMIDAZOL"
"D01AC05","ISOCONAZOLE","ISOCONAZOLE","ISOCONAZOL"
"D01AC06","TIABENDAZOLE","TIABENDAZOLE","TIABENDAZOL"
"D01AC07","TIOCONAZOLE","TIOCONAZOLE","TIOCONAZOL"
"D01AC08","KETOCONAZOLE","KETOCONAZOLE","KETOCONAZOL"
"D01AC09","SULCONAZOLE","SULCONAZOLE","SULCONAZOL"
"D01AC10","BIFONAZOLE","BIFONAZOLE","BIFONAZOL"
"D01AC11","OXICONAZOLE","OXICONAZOLE","OXICONAZOL"
"D01AC12","FENTICONAZOLE","FENTICONAZOLE","FENTICONAZOL"
"D01AC13","OMOCONAZOLE","OMOCONAZOLE","OMOCONAZOL"
"D01AC14","SERTACONAZOLE","SERTACONAZOLE","SERTACONAZOL"
"D01AC15","FLUCONAZOLE","FLUCONAZOLE","FLUCONAZOL"
"D01AC16","FLUTRIMAZOLE","FLUTRIMAZOLE","FLUTRIMAZOL"
"D01AC20","COMBINATIONS","ASSOCIATIONS","KOMBINATIONEN"
"D01AC52","MICONAZOLE, COMBINATIONS","MICONAZOLE EN ASSOCIATION","MICONAZOL, KOMBINATIONEN"
"D01AC60","BIFONAZOLE, COMBINATIONS","BIFONAZOLE EN ASSOCIATION","BIFONAZOL, KOMBINATIONEN"
"D01AE","OTHER ANTIFUNGALS FOR TOPICAL USE","AUTRES ANTIFONGIQUES A USAGE TOPIQUE","ANDERE ANTIMYKOTIKA ZUR TOPISCHEN ANWENDUNG"
"D01AE01","BROMOCHLOROSALICYLANILIDE","BROMOCHLOROSALICYLANILIDE","BROMCHLORSALICYLANILID"
"D01AE02","METHYLROSANILINE","METHYLROSANILINE","METHYLROSANILIN"
"D01AE03","TRIBROMOMETACRESOL","TRIBROMOMETACRESOL","TRIBROMMETACRESOL"
"D01AE04","UNDECYLENIC ACID","ACIDE UNDECYLENIQUE","UNDECYLENSÄURE"
"D01AE05","POLYNOXYLIN","POLYNOXYLINE","POLYNOXYLIN"
"D01AE06","2-(4-CHLORPHENOXY)-ETHANOL","2-(4-CHLORPHENOXY)-ETHANOL","2-(4-CHLORPHENOXY)-ETHANOL"
"D01AE07","CHLORPHENESIN","CHLORPHENESINE","CHLORPHENESIN"
"D01AE08","TICLATONE","TICLATONE","TICLATON"
"D01AE09","SULBENTINE","SULBENTINE","SULBENTIN"
"D01AE10","ETHYL HYDROXYBENZOATE","ETHYL HYDROXYBENZOATE","ETHYLHYDROXYBENZOAT"
"D01AE11","HALOPROGIN","HALOPROGINE","HALOPROGIN"
"D01AE12","SALICYLIC ACID","ACIDE SALICYLIQUE","SALICYLSÄURE"
"D01AE13","SELENIUM SULFIDE","SELENIUM SULFITE","SELENDISULFID"
"D01AE14","CICLOPIROX","CICLOPIROX","CICLOPIROX"
"D01AE15","TERBINAFINE","TERBINAFINE","TERBINAFIN"
"D01AE16","AMOROLFINE","AMOROLFINE","AMOROLFIN"
"D01AE17","DIMAZOLE","DIMAZOLE","DIMAZOL"
"D01AE18","TOLNAFTATE","TOLNAFTATE","TOLNAFTAT"
"D01AE19","TOLCICLATE","TOCICLATE","TOLCICLAT"
"D01AE20","COMBINATIONS","ASSOCIATIONS","KOMBINATIONEN"
"D01AE21","FLUCYTOSINE","FLUCYTOSINE","FLUCYTOSIN"
"D01AE22","NAFTIFINE","NAFTIFINE","NAFTIFIN"
"D01AE23","BUTENAFINE","BUTENAFINE","BUTENAFIN"
"D01AE54","UNDECYLENIC ACID, COMBINATIONS","ACIDE UNDECYLENIQUE EN ASSOCIATION","UNDECYLENSÄURE, KOMBINATIONEN"
"D01B","ANTIFUNGALS FOR SYSTEMIC USE","ANTIFONGIQUES A USAGE SYSTEMIQUE","ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG"
"D01BA","ANTIFUNGALS FOR SYSTEMIC USE","ANTIFONGIQUE A USAGE SYSTEMIQUE","ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG"
"D01BA01","GRISEOFULVIN","GRISEOFULVINE","GRISEOFULVIN"
"D01BA02","TERBINAFINE","TERBINAFINE","TERBINAFIN"
"D02","EMOLLIENTS AND PROTECTIVES","EMOLLIENTS ET PROTECTEURS","EMOLLIENTIA UND HAUTSCHUTZMITTEL"
"D02A","EMOLLIENTS AND PROTECTIVES","EMOLLIENT ET PROTECTEUR","EMOLLIENTIA UND HAUTSCHUTZMITTEL"
"D02AA","SILICONE PRODUCTS","MEDICAMENTS A BASE DE SILICONE","SILIKON-HALTIGE MITTEL"
"D02AB","ZINC PRODUCTS","MEDICAMENTS A BASE DE ZINC","ZINK-HALTIGE MITTEL"
"D02AC","SOFT PARAFFIN AND FAT PRODUCTS","PARAFFINE ET PRODUITS GRAS","VASELINE UND FETT-HALTIGE MITTEL"
"D02AD","LIQUID PLASTERS","EMPLATRES LIQUIDES","FLÜSSIGE PFLASTER"
"D02AE","CARBAMIDE PRODUCTS","MEDICAMENTS A BASE D'UREE","HARNSTOFF-HALTIGE MITTEL"
"D02AE01","CARBAMIDE","UREE","HARNSTOFF"
"D02AE51","CARBAMIDE, COMBINATIONS","UREE EN ASSOCIATION","HARNSTOFF, KOMBINATIONEN"
"D02AF","SALICYLIC ACID PREPARATIONS","PREPARATIONS A BASE D'ACIDE SALICYLIQUE","SALICYLSÄURE-HALTIGE ZUBEREITUNGEN"
"D02AX","OTHER EMOLLIENTS AND PROTECTIVES","AUTRES EMOLLIENTS ET PROTECTEURS","ANDERE EMOLLIENTIA UND HAUTSCHUTZMITTEL"
"D02B","PROTECTIVES AGAINST UV-RADIATION","PROTECTEURS CONTRE LES RAYONNEMENTS UV","PROTEKTIVA GEGEN UV-STRAHLUNG"
"D02BA","PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE","PROTECTEURS CONTRE LES RAYONNEMENTS UV A USAGE TOPIQUE","PROTEKTIVA GEGEN UV-STRAHLUNG ZUR TOPISCHEN ANWENDUNG"
"D02BA01","AMINOBENZOIC ACID","ACIDE AMINOBENZOÏQUE","AMINOBENZOESÄURE"
"D02BA02","OCTYL METHOXYCINNAMATE","OCTYL METHOXYCINNAMATE","OCTINOXAT"
"D02BB","PROTECTIVES AGAINST UV-RADIATION FOR SYSTEMIC USE","PROTECTEURS CONTRE LES RAYONNEMENTS UV A USAGE SYSTEMIQUE","PROTEKTIVA GEGEN UV-STRAHLUNG ZUR SYSTEMISCHEN ANWENDUNG"
"D02BB01","BETACAROTENE","BETACAROTENE","BETACAROTEN"
"D03","PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS","PREPARATIONS POUR LE TRAITEMENT DES PLAIES ET ULCERES","ZUBEREITUNGEN ZUR BEHANDLUNG VON WUNDEN UND GESCHWÜREN"
"D03A","CICATRIZANTS","CICATRISANTS","WUNDBEHANDLUNGSMITTEL"
"D03AA","COD-LIVER OIL OINTMENTS","PREPARATIONS A BASE D'HUILE DE FOIE DE MORUE","LEBERTRANSALBEN"
"D03AX","OTHER CICATRIZANTS","AUTRES CICATRISANTS","ANDERE WUNDBEHANDLUNGSMITTEL"
"D03AX01","CADEXOMER IODINE","CADEXOMERE IODURE","CADEXOMER-IOD"
"D03AX02","DEXTRANOMER","DEXTRANOMERE","DEXTRANOMER"
"D03AX03","DEXPANTHENOL","DEXPANTHENOL","DEXPANTHENOL"
"D03AX04","CALCIUM PANTOTHENATE","CALCIUM PANTOTHENATE","CALCIUMPANTOTHENAT"
"D03AX05","HYALURONIC ACID","ACIDE HYALURONIQUE","HYALURONSÄURE"
"D03AX06","BECAPLERMIN","BECAPLERMINE","BECAPLERMIN"
"D03AX09","CRILANOMER","CRILANOMER","CRILANOMER"
"D03AX10","ENOXOLONE","ENOXOLONE","ENOXOLON"
"D03B","ENZYMES","ENZYMES","ENZYME"
"D03BA","PROTEOLYTIC ENZYMES","ENZYMES PROTEOLYTIQUES","PROTEOLYTISCHE ENZYME"
"D03BA01","TRYPSIN","TRYPSINE","TRYPSIN"
"D03BA02","CLOSTRIDIOPEPTIDASE","CLOSTRIDIOPEPTIDASE","CLOSTRIDIOPEPTIDASE"
"D03BA03","COLLAGENASE","COLLAGENASE","KOLLAGENASE"
"D03BA52","CLOSTRIDIOPEPTIDASE, COMBINATIONS","CLOSTRIDIOPEPTIDASE EN ASSOCIATION","CLOSTRIDIOPEPTIDASE, KOMBINATIONEN"
"D04","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURIGINEUX, INCLUANT ANTIHISTAMINIQUES, ANESTHESIQUES, ETC","ANTIPRURIGINOSA, INKL. ANTIHISTAMINIKA, ANÄSTHETIKA ETC."
"D04A","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURIGINEUX, INCLUANT ANTIHISTAMINIQUE, ANESTHESIQUE, ETC.","ANTIPRURIGINOSA, INKL.  ANTIHISTAMINIKA, ANÄSTHETIKA ETC."
"D04AA","ANTIHISTAMINES FOR TOPICAL USE","ANTIHISTAMINIQUES A USAGE TOPIQUE","ANTIHISTAMINIKA ZUR TOPISCHEN ANWENDUNG"
"D04AA01","THONZYLAMINE","THONZYLAMINE","THONZYLAMIN"
"D04AA02","MEPYRAMINE","MEPYRAMINE","MEPYRAMIN"
"D04AA03","THENALIDINE","THENALIDINE","THENALIDIN"
"D04AA04","TRIPELENNAMINE","TRIPELENNAMINE","TRIPELENNAMIN"
"D04AA09","CHLOROPYRAMINE","CHLOROPYRAMINE","CHLOROPYRAMIN"
"D04AA10","PROMETHAZINE","PROMETHAZINE","PROMETHAZIN"
"D04AA12","TOLPROPAMINE","TOLPROPAMINE","TOLPROPAMIN"
"D04AA13","DIMETINDENE","DIMETINDENE","DIMETINDEN"
"D04AA14","CLEMASTINE","CLEMASTINE","CLEMASTIN"
"D04AA15","BAMIPINE","BAMIPINE","BAMIPIN"
"D04AA22","ISOTHIPENDYL","ISOTHIPENDYL","ISOTHIPENDYL"
"D04AA32","DIPHENHYDRAMINE","DIPHENYDRAMINE","DIPHENHYDRAMIN"
"D04AA33","DIPHENHYDRAMINE METHYLBROMIDE","DIPHENYDRAMINE METHYLBROMIDE","DIPHENHYDRAMINMETHYLBROMID"
"D04AA34","CHLORPHENOXAMINE","CHLORPHENOXAMINE","CHLORPHENOXAMIN"
"D04AB","ANESTHETICS FOR TOPICAL USE","ANESTHESIQUES A USAGE TOPIQUE","LOKALANÄSTHETIKA"
"D04AB01","LIDOCAINE","LIDOCAÏNE","LIDOCAIN"
"D04AB02","CINCHOCAINE","CINCHOCAÏNE","CINCHOCAIN"
"D04AB03","OXYBUPROCAINE","OXYBUPROCAÏNE","OXYBUPROCAIN"
"D04AB04","BENZOCAINE","BENZOCAÏNE","BENZOCAIN"
"D04AB05","QUINISOCAINE","QUINISOCAÏNE","CHINISOCAIN"
"D04AB06","TETRACAINE","TETRACAÏNE","TETRACAIN"
"D04AB07","PRAMOCAINE","PRAMOCAINE","PRAMOCAIN"
"D04AX","OTHER ANTIPRURITICS","AUTRES ANTIPRURIGINEUX","ANDERE ANTIPRURIGINOSA"
"D05","ANTIPSORIATICS","MEDICAMENTS CONTRE LE PSORIASIS","ANTIPSORIATIKA"
"D05A","ANTIPSORIATICS FOR TOPICAL USE","MEDICAMENTS CONTRE LE PSORIASIS A USAGE TOPIQUE","ANTIPSORIATIKA ZUR TOPISCHEN ANWENDUNG"
"D05AA","TARS","GOUDRONS","TEERE"
"D05AC","ANTRACEN DERIVATIVES","DERIVES ANTHRACENIQUES","ANTHRACEN-DERIVATE"
"D05AC01","DITHRANOL","DITHRANOL","DITHRANOL"
"D05AC51","DITHRANOL, COMBINATIONS","DITHRANOL EN ASSOCIATION","DITHRANOL, KOMBINATIONEN"
